,P6426,P6440,P7040,OFICIO,P6430,RAMA4D_R4,INGLABO
6213,8,1,2,38,1,8220,908000
6214,28,1,2,99,1,3811,908000
6215,48,1,1,21,2,8412,12000000
6216,300,2,2,59,4,9609,1000000
6217,72,1,2,12,2,9101,4000000
6218,2,2,2,98,4,4921,800000
6219,168,1,2,8,1,6201,12500000
6220,168,1,2,5,4,8414,3500000
6221,1,1,2,85,1,2829,980000
6222,192,2,2,87,4,4322,1000000
6223,15,2,2,97,4,5224,200000
6224,1,1,2,95,1,4111,100000
6225,12,1,2,54,3,9700,900000
6226,12,2,2,95,4,4111,200000
6227,360,2,2,45,4,4789,450000
6228,84,1,2,11,1,4511, 
6229,72,2,2,59,4,9609, 
6230,5,2,2,95,4,4111, 
6231,36,2,2,85,4,9522, 
6232,312,1,2,55,1,8610,908526
6233,0,1,2,8,1,8551,3800000
6234,72,2,2,59,4,9609,600000
6235,8,2,2,84,4,4520, 
6236,84,1,2,98,1,4921,1100000
6237,36,2,2,13,4,8414,1800000
6238,94,2,2,95,4,4111,500000
6239,24,2,2,85,4,9522,1000000
6240,2,2,2,85,4,9522,300000
6241,13,1,2,97,2,3700,980000
6242,15,1,2,58,1,8424,1200000
6243,228,1,2,54,1,8890,908000
6244,156,1,2,58,1,8610,1120000
6245,24,2,2,54,4,8890,120000
6246,12,1,2,95,1,4111, 
6247,6,1,2,3,1,2829,1000000
6248,16,1,2,97,1,5210,908526
6249,7,1,2,3,1,8220,908526
6250,42,1,2,39,1,7010,908000
6251,2,1,2,95,1,4111,1300000
6252,3,1,2,79,1,1410,908000
6253,300,2,2,99,4,9609,250000
6254,5,1,2,45,1,4755,980000
6255,9,1,2,42,1,4752,1900000
6256,14,1,2,30,1,8220,2500000
6257,300,2,2,95,5,4111, 
6258,12,2,2,59,4,4773, 
6259,15,2,2,45,4,4781,250000
6260,36,1,2,55,1,8121,908000
6261,144,2,2,45,4,4781,250000
6262,18,1,2,89,1,4752,1300000
6263,7,2,2,98,4,4921, 
6264,15,1,2,55,1,4711,908600
6265,1,1,2,85,1,9512,900000
6266,16,1,2,59,3,9700,500000
6267,36,1,2,55,1,8121,1100000
6268,1,1,2,83,1,2511,500000
6269,10,1,2,45,1,4731,1200000
6270,24,2,2,98,4,4921,800000
6271,12,2,2,98,4,4921,800000
6272,12,1,2,53,1,5613,908000
6273,480,1,2,30,1,2511,1500000
6274,84,1,2,21,1,5012,1000000
6275,60,2,2,39,4,4111,1600000
6276,14,2,2,98,4,4923,300000
6277,6,1,2,81,1,3110,600000
6278,84,1,2,98,4,4921,1000000
6279,130,2,2,41,4,1040, 
6280,6,1,2,37,1,5320,980000
6281,5,2,2,41,4,4711,300000
6282,14,2,2,95,4,4111,900000
6283,6,1,2,95,4,4111,800000
6284,24,1,2,79,1,1410,500000
6285,60,1,2,97,1,2920,908526
6286,36,1,2,8,1,6202,3000000
6287,22,1,2,58,1,8413,1100000
6288,48,1,2,21,1,6412, 
6289,84,1,2,98,1,8010, 
6290,3,2,2,7,4,8610, 
6291,240,2,2,41,4,4721,1000000
6292,1,1,2,16,1,7310,2300000
6293,3,1,2,8,1,8621,1600000
6294,60,2,2,95,4,4111,900000
6295,96,1,2,11,1,6920,2300000
6296,2,1,2,45,1,4711,400000
6297,2,1,2,45,1,4711,540000
6298,18,1,2,45,1,4719,908526
6299,96,1,2,40,1,3110, 
6300,5,1,2,21,4,7110,2500000
6301,36,1,2,13,1,8541,908526
6302,240,1,2,45,1,4631,1200000
6303,8,2,2,45,4,5619,500000
6304,24,1,2,33,1,6492,1000000
6305,9,1,2,33,1,4663,1100000
6306,180,2,2,45,4,5619,950000
6307,5,1,2,39,2,5310,980000
6308,5,1,2,30,1,4111, 
6309,180,2,2,3,4,9511,300000
6310,12,1,2,45,1,4642,908000
6311,36,1,2,45,1,4642,908000
6312,72,1,2,45,1,4649,1300000
6313,12,1,2,97,1,4631,960000
6314,9,2,2,99,4,3830, 
6315,84,1,2,98,1,4923,1100000
6316,156,1,2,32,1,4923,908526
6317,120,2,2,54,4,8121,600000
6318,1,1,2,44,1,6820,1100000
6319,4,1,2,95,1,4330,908526
6320,18,1,2,55,1,9491,908526
6321,1,1,2,95,1,4330,750000
6322,3,1,2,55,1,6820,560000
6323,6,2,2,95,4,4330, 
6324,48,1,2,59,1,4921,908000
6325,12,1,2,59,1,9609,450000
6326,72,1,2,58,1,6820,908000
6327,12,1,2,54,4,8121,500000
6328,3,1,2,59,3,9700,1306000
6329,84,1,2,30,2,5310,1800000
6330,8,2,2,54,4,8890,500000
6331,112,1,2,8,1,8610,3100000
6332,6,2,2,41,5,4719,900000
6333,6,1,2,45,1,4719,908526
6334,36,1,2,55,4,3811,1800000
6335,36,1,2,58,2,8423,908526
6336,180,2,2,41,4,4711, 
6337,1,2,2,98,4,4923, 
6338,48,1,2,98,2,4921,2600000
6339,1,1,2,33,1,8610,1200000
6340,8,1,2,53,1,5511,2100000
6341,48,1,2,39,1,6412,1800000
6342,36,1,2,98,1,8621,1900000
6343,11,1,2,84,2,4921,1200000
6344,324,2,2,16,4,7420, 
6345,62,1,2,77,1,1081,2600000
6346,36,1,2,37,1,5320,900000
6347,18,1,2,56,1,1392,1000000
6348,8,1,2,45,1,1081,1013526
6349,48,2,2,95,4,4111,900000
6350,48,1,2,53,1,5611,600000
6351,1,1,2,95,4,4111, 
6352,12,1,2,55,1,4754,300000
6353,72,2,2,87,4,2592,700000
6354,36,1,2,53,1,5613,908526
6355,24,1,2,58,1,6820,1200000
6356,36,1,2,59,1,8621,1070000
6357,56,2,2,11,4,6920,4000000
6358,48,1,2,8,1,9511,1500000
6359,48,1,2,45,1,4719,909000
6360,2,1,2,38,1,6412,1014980
6361,2,2,2,45,4,4789,200000
6362,8,1,2,95,1,4112,908000
6363,36,1,2,13,2,8530,2500000
6364,72,1,2,2,1,4921,1750000
6365,24,1,2,58,1,6820,1230000
6366,24,1,2,45,1,4771,908600
6367,36,1,2,45,1,4721,906000
6368,16,1,2,33,1,4721,1200000
6369,12,2,2,98,4,4921,1000000
6370,36,2,2,45,4,4781,900000
6371,24,1,2,54,3,9700,464000
6372,156,1,2,7,1,8621, 
6373,2,1,2,59,4,9609,1100000
6374,1,1,2,97,1,4719,908526
6375,3,1,2,84,4,4520,1300000
6376,2,1,2,2,1,6820,900000
6377,16,1,2,3,1,8220,2000000
6378,18,1,2,2,4,8414, 
6379,12,1,2,45,1,4723,700000
6380,0,1,2,77,1,5611,200000
6381,4,1,2,45,1,4711,900000
6382,4,1,2,30,4,8559,1800000
6383,36,1,2,21,4,4711, 
6384,4,1,2,13,4,8559, 
6385,144,2,2,95,4,4111,1800000
6386,48,1,2,54,3,9700,700000
6387,9,1,2,55,1,1410,908526
6388,60,2,2,55,4,8121,400000
6389,24,2,2,41,4,4724,250000
6390,240,2,2,98,4,4923,600000
6391,36,2,2,95,4,4111,300000
6392,24,2,2,97,4,5224, 
6393,12,2,2,80,4,9523,600000
6394,10,2,2,53,4,5619,300000
6395,3,1,2,37,4,4724,480000
6396,6,2,2,55,4,8121,150000
6397,96,1,2,58,1,8544,908526
6398,312,1,2,55,1,8544,908526
6399,24,2,2,98,4,4921,1200000
6400,360,2,2,95,4,4111,600000
6401,14,2,2,95,4,4111,500000
6402,84,2,2,98,4,4921,900000
6403,48,2,2,41,4,4771,500000
6404,108,1,2,58,2,8423, 
6405,12,2,2,98,4,4921,900000
6406,12,2,2,98,4,4921,700000
6407,204,1,2,81,4,3110,700000
6408,60,1,2,33,1,4711,908526
6409,1,1,2,39,1,4111,1500000
6410,72,1,2,97,1,4923, 
6411,36,1,2,33,1,6412,908526
6412,4,1,2,3,1,4111,1200000
6413,12,2,2,98,4,4921,1000000
6414,24,2,2,98,4,4921,900000
6415,36,1,2,45,1,2023,908000
6416,48,1,2,77,1,1012,908526
6417,156,2,2,41,4,4719,400000
6418,60,1,2,92,4,1313, 
6419,12,2,2,77,4,5619,200000
6420,12,2,2,98,4,4921,700000
6421,24,2,2,95,4,4111,500000
6422,120,2,2,53,4,5619, 
6423,18,2,2,98,4,4921,800000
6424,15,2,2,53,4,5619,500000
6425,24,2,2,95,4,4111,600000
6426,4,1,2,55,1,8422,908526
6427,10,2,2,21,4,9329,900000
6428,20,1,2,45,1,4771,900000
6429,36,1,2,99,1,3811,908000
6430,60,1,2,45,1,4771,900000
6431,360,2,2,95,4,4111,800000
6432,9,2,1,77,4,5619,160000
6433,72,2,2,98,4,4921,700000
6434,60,1,2,3,1,8621,908000
6435,72,1,2,54,1,5530,908000
6436,3,1,2,97,1,8422,908526
6437,3,2,2,53,4,5619,100000
6438,4,1,2,54,3,9700,600000
6439,480,2,2,99,4,4520,550000
6440,24,2,2,99,4,4520,250000
6441,3,2,2,95,4,4111,700000
6442,24,2,2,81,4,3110,200000
6443,96,1,2,97,1,5112,1600000
6444,180,2,2,41,4,4711,2000000
6445,24,2,2,45,6,4711, 
6446,12,2,2,74,4,2023,100000
6447,278,2,2,99,4,4665,800000
6448,10,2,2,98,4,4921,400000
6449,3,2,2,97,6,4665, 
6450,72,2,2,98,4,4921,800000
6451,240,2,2,98,4,4921,500000
6452,96,2,2,55,4,8121,160000
6453,144,2,2,45,4,4781,500000
6454,480,2,2,45,4,4789,800000
6455,240,2,2,45,4,4789,700000
6456,360,2,2,53,4,5619,450000
6457,48,1,2,97,1,1630,2000000
6458,60,2,2,37,4,5320,500000
6459,240,2,2,45,4,4782,440000
6460,4,2,2,98,4,4921,600000
6461,72,1,2,3,1,6110,1600000
6462,48,1,2,45,1,4771,908526
6463,2,1,2,54,3,9700,450000
6464,60,1,2,33,1,8422,908526
6465,180,2,2,41,4,4711,2000000
6466,36,2,2,45,6,4711, 
6467,144,2,2,98,4,4921,800000
6468,60,2,2,41,5,7310, 
6469,24,1,2,33,1,9200,908000
6470,240,1,2,55,4,9329,800000
6471,240,2,2,95,4,4111,600000
6472,180,2,2,45,4,4792,300000
6473,48,1,2,33,1,4711,908000
6474,60,2,2,3,4,4321,1000000
6475,360,1,2,13,1,8890,908526
6476,300,2,2,84,4,4520,750000
6477,12,2,2,45,4,4792,200000
6478,5,1,2,39,1,2511,900000
6479,60,2,2,41,4,4771,400000
6480,240,1,2,45,1,4752,1200000
6481,48,1,2,50,1,5611,1200000
6482,24,1,2,32,4,8412, 
6483,6,1,2,58,1,8010,1200000
6484,48,2,2,2,4,4330,500000
6485,60,1,2,52,1,6820,1000000
6486,24,1,2,53,1,5611,908526
6487,360,2,2,85,4,9522,700000
6488,216,2,2,77,4,5619,500000
6489,8,2,2,77,4,5619,250000
6490,4,1,2,56,4,9601, 
6491,4,2,2,98,4,4921,500000
6492,12,1,2,53,1,8422,1100000
6493,299,1,2,42,1,7010,3400000
6494,2,1,2,53,1,5611,250000
6495,8,2,2,45,6,4711, 
6496,72,1,1,33,1,5611,907000
6497,20,1,2,45,1,4711,100000
6498,24,1,2,38,1,8220, 
6499,36,1,2,58,1,8530,1100000
6500,6,1,2,18,4,9312,1200000
6501,12,2,2,57,4,9602,200000
6502,5,1,2,97,1,4711,908526
6503,6,1,2,54,3,9700,908526
6504,240,2,2,41,4,4771,908526
6505,12,1,2,93,1,4520,800000
6506,228,1,2,58,2,8423,2400000
6507,6,1,2,55,1,8610,907000
6508,6,1,2,53,1,1081,700000
6509,20,1,2,83,1,2511,908256
6510,30,1,2,60,1,121,1100000
6511,12,2,2,84,4,4520,200000
6512,60,2,2,97,4,5224,800000
6513,18,1,2,41,1,4711,500000
6514,36,1,2,98,1,4923,908256
6515,360,2,2,54,4,8121,120000
6516,480,2,2,97,4,5224,450000
6517,60,1,2,98,1,4921,908526
6518,180,1,2,13,2,8530,4300000
6519,36,1,2,3,1,4322,1900000
6520,60,1,2,33,1,6412,2300000
6521,24,1,2,30,1,1051,3000000
6522,60,2,2,41,5,4711,2200000
6523,24,1,2,21,1,9499,1000000
6524,4,1,2,13,2,8530,3400000
6525,1,1,2,84,1,4520,200000
6526,18,2,2,95,4,4111,300000
6527,8,2,2,99,4,3830,400000
6528,12,1,2,57,4,9602,50000
6529,48,2,2,18,4,9319,400000
6530,360,2,2,61,4,141,3000000
6531,180,2,2,61,4,141,2000000
6532,30,1,2,38,1,6910,908256
6533,36,1,2,54,1,8890,908526
6534,2,1,2,8,1,8621,3500000
6535,36,1,2,9,1,6201,3500000
6536,9,1,2,16,4,8412,2900000
6537,16,1,2,32,1,8559,908256
6538,180,2,2,57,4,9602,300000
6539,360,1,2,13,2,8530,4000000
6540,192,1,2,13,1,8530, 
6541,408,1,2,13,2,8530,4300000
6542,3,1,2,3,1,7110,908526
6543,36,2,2,41,4,4771, 
6544,5,1,2,33,1,8610,1250000
6545,72,2,2,98,4,4921, 
6546,120,1,2,13,2,8544,3000000
6547,3,1,2,95,1,4111,908526
6548,102,1,2,54,3,9700,908526
6549,2,1,2,95,1,4111,900000
6550,12,1,2,98,1,4711,1200000
6551,1,1,2,32,4,8412,1500000
6552,300,1,2,32,2,8530,2000000
6553,36,2,2,45,4,4781,700000
6554,312,1,2,32,2,8412,2800000
6555,60,1,2,98,2,8412,1500000
6556,168,1,2,32,1,8610,907000
6557,24,1,2,2,1,4290,1200000
6558,18,2,2,45,6,4711, 
6559,36,2,2,41,4,4711, 
6560,12,2,2,41,4,4721,1000000
6561,12,2,2,54,4,8121,700000
6562,60,1,2,95,1,4290,907000
6563,12,1,2,54,3,9700,100000
6564,36,1,2,98,1,4921,908526
6565,1,2,2,41,4,4711,50000
6566,84,1,2,33,1,3312,907000
6567,300,2,2,41,4,4759,480000
6568,24,1,2,58,1,8010,907000
6569,120,1,2,13,1,8544,3200000
6570,60,1,2,8,1,6201,1500000
6571,90,1,2,30,1,4322,1000000
6572,24,1,2,98,1,4322,908526
6573,12,2,2,45,7,4711, 
6574,5,1,2,59,1,8622,1100000
6575,2,1,2,59,1,8621,908526
6576,96,2,2,98,4,4921,600000
6577,24,1,2,45,1,4711,300000
6578,144,1,2,95,1,4111,500000
6579,18,1,2,54,3,9700,1208526
6580,24,2,2,16,4,7410,500000
6581,24,2,2,16,4,7410,500000
6582,24,2,2,98,4,4923,700000
6583,1,1,2,50,1,5630,650000
6584,180,2,2,85,4,9522,1000000
6585,1,1,2,99,1,4520,360000
6586,18,2,2,88,4,3210,600000
6587,420,2,2,95,4,4111,800000
6588,5,1,2,8,1,6412, 
6589,72,2,2,41,4,4711,100000
6590,96,2,2,41,4,4719,150000
6591,36,1,2,32,2,8415,2000000
6592,2,1,2,58,1,8412,908526
6593,24,1,2,45,1,4711,908526
6594,12,1,2,98,1,4921,80000
6595,12,1,2,13,2,8530,1900000
6596,6,2,2,7,4,8692,300000
6597,120,1,2,77,1,1081,600000
6598,24,1,2,62,1,121,907000
6599,153,2,2,61,4,161,500000
6600,12,1,2,32,1,6820,907000
6601,12,1,2,98,1,4632,908256
6602,6,1,2,32,1,8621,908256
6603,6,1,2,98,1,4723,1300000
6604,360,2,2,6,4,8621,6000000
6605,27,1,2,21,1,4761,3100000
6606,264,1,2,2,2,3511,8000000
6607,420,2,2,6,4,7500,5000000
6608,60,2,2,16,4,9005,1500000
6609,24,1,2,21,1,7310,2500000
6610,96,2,2,41,5,4772,20000000
6611,6,1,2,21,1,1082,11800000
6612,84,1,2,13,2,8544, 
6613,343,2,2,97,4,5224,700000
6614,36,1,2,34,1,8220, 
6615,56,1,2,30,1,9200, 
6616,12,2,2,59,4,9609, 
6617,460,2,2,45,4,4781, 
6618,36,2,2,41,4,4711, 
6619,240,2,2,45,4,4789,500000
6620,360,2,2,45,4,4789,600000
6621,5,1,2,93,1,4330,1800000
6622,96,2,2,59,4,9609,400000
6623,1,1,2,55,1,5914,908526
6624,228,2,2,44,4,4512,908526
6625,12,1,2,45,1,4530,1014980
6626,47,1,2,45,1,4631,1014980
6627,408,1,2,54,1,8890,908000
6628,24,1,2,34,1,8121,908000
6629,24,1,2,87,1,4290,1400000
6630,12,2,2,54,4,9700,140000
6631,12,2,2,45,4,4781, 
6632,264,1,2,2,2,8413,3000000
6633,84,1,2,45,1,4723,908526
6634,24,1,2,39,1,2229,908526
6635,1,1,2,93,1,4330,908526
6636,84,1,2,58,1,4711,908526
6637,48,1,2,58,1,4711,908526
6638,4,1,2,54,3,9700,450000
6639,120,2,2,45,4,4789,60000
6640,12,1,2,83,1,2593,1200000
6641,192,2,2,95,4,4112, 
6642,12,2,2,41,4,4711,200000
6643,4,1,2,85,1,4112,750000
6644,4,2,2,58,4,8010,800000
6645,3,2,2,97,4,5224,700000
6646,84,1,2,45,1,4663,908526
6647,96,2,2,87,4,2592,270000
6648,288,1,2,3,1,2011,1000000
6649,105,1,2,34,1,4711, 
6650,48,1,2,34,1,8220,908000
6651,36,1,2,83,1,2593,908526
6652,204,2,2,99,4,4520,200000
6653,12,1,2,89,1,2395,908000
6654,120,2,2,44,4,4512,800000
6655,144,1,2,83,1,2593,908526
6656,3,1,2,89,1,2395,908526
6657,7,1,2,79,1,1392,908526
6658,360,2,2,89,4,4752,540000
6659,48,1,2,97,1,1511,908526
6660,96,1,2,97,1,2023,908526
6661,12,1,2,21,1,2750,1600000
6662,420,2,2,97,4,5224,120000
6663,420,2,2,97,4,5224,100000
6664,240,1,2,45,1,4711,550000
6665,1,2,2,45,4,4781, 
6666,6,1,2,30,1,4752,908526
6667,98,2,2,58,4,8010, 
6668,2,2,2,45,4,4792, 
6669,360,2,2,45,4,4781, 
6670,12,2,2,41,4,4711, 
6671,24,1,2,59,1,8621,1100000
6672,24,1,2,98,1,2229, 
6673,5,2,2,59,4,8810,500000
6674,48,1,2,45,1,1522,908526
6675,48,1,2,19,1,6920,1200000
6676,48,1,2,58,1,6820,1200000
6677,36,1,2,38,1,8220,908526
6678,240,2,2,41,4,4711,800000
6679,241,1,2,98,1,150,1100000
6680,48,1,2,30,1,8121,1200000
6681,1,1,2,34,2,8890, 
6682,2,1,2,53,1,5611,600000
6683,156,2,2,98,4,4921,300000
6684,0,2,2,53,4,5611,0
6685,216,2,2,58,4,8010,400000
6686,264,1,2,43,1,2750, 
6687,96,1,2,3,4,2750, 
6688,5,1,2,38,1,8220,908526
6689,36,2,2,55,4,8121,200000
6690,18,2,2,16,4,7310,900000
6691,10,1,2,97,1,1082, 
6692,8,1,2,95,1,4111,908000
6693,36,1,2,55,1,8220,908000
6694,96,1,2,33,1,5221, 
6695,98,1,2,54,3,9700, 
6696,72,1,2,98,4,8422,1100000
6697,1,1,2,34,1,8220,898000
6698,96,1,2,79,1,1410,1000000
6699,36,1,2,97,1,2750,1200000
6700,60,2,2,81,4,3110, 
6701,60,1,2,41,4,4754, 
6702,96,1,2,53,1,5611,400000
6703,300,2,2,93,4,4520,1500000
6704,24,1,2,3,1,4741,1200000
6705,4,1,2,59,1,8621, 
6706,12,2,2,44,4,6511,1000000
6707,120,1,2,44,1,6511,2000000
6708,42,1,2,30,1,8220,1250000
6709,7,1,2,50,1,5630,850000
6710,180,1,2,12,1,6920,2000000
6711,12,1,2,92,4,1811,120000
6712,48,2,2,41,4,4719,1500000
6713,36,1,2,55,1,8121,1200000
6714,4,2,2,21,5,1410,908526
6715,4,2,2,70,5,1410,908526
6716,4,2,2,70,5,1410,908526
6717,24,1,2,3,1,2750,1200000
6718,168,1,2,34,2,3600,3500000
6719,48,1,2,37,2,5310,1200000
6720,253,2,2,95,4,4111, 
6721,4,1,2,58,1,8010, 
6722,8,1,2,97,1,1082, 
6723,18,1,2,3,1,6190, 
6724,72,1,2,33,1,4511,1200000
6725,7,1,2,80,1,1522,908526
6726,120,2,2,55,4,8121, 
6727,60,1,2,55,1,6511,863000
6728,24,2,2,2,4,4111, 
6729,180,2,2,57,4,9602, 
6730,12,1,2,45,1,4771, 
6731,12,2,2,41,5,4729, 
6732,6,1,2,41,4,4729,50000
6733,96,1,2,34,1,8220,908000
6734,24,1,2,97,1,1511,908000
6735,24,2,2,12,5,6910,15000000
6736,36,1,2,6,1,8610,3000000
6737,12,1,2,13,4,8551,5150000
6738,24,1,2,13,4,8551,5150000
6739,48,2,2,44,5,4620,3000000
6740,360,1,2,13,2,8530,3800000
6741,24,1,2,21,4,8413,1800000
6742,12,1,2,6,1,7500,900000
6743,60,1,2,58,1,8010,1500000
6744,6,1,2,39,1,8610,907000
6745,120,1,2,60,1,122,1800000
6746,120,2,2,62,7,122, 
6747,360,1,2,13,2,8530,3800000
6748,60,1,2,33,1,4711,950000
6749,36,1,2,32,4,8412,1700000
6750,120,1,2,98,1,5021,1200000
6751,2,1,2,95,1,4111,750000
6752,120,1,2,45,1,4773,1200000
6753,24,1,2,33,1,4773,950000
6754,36,1,2,59,1,8621,1050000
6755,360,2,2,95,4,4111,0
6756,84,2,2,54,4,8121,60000
6757,4,1,2,39,1,5511,1200000
6758,3,1,2,45,1,4723,1000000
6759,2,1,2,45,1,5613,900000
6760,12,2,2,54,4,8121,450000
6761,2,2,2,45,6,4711, 
6762,12,2,2,41,4,4711,250000
6763,18,1,2,61,1,8130,908526
6764,6,2,2,41,4,4773,0
6765,14,2,2,45,4,4781,750000
6766,36,1,2,59,1,4773,1014526
6767,240,2,2,98,4,4923,1500000
6768,468,1,2,13,2,8413,4300000
6769,456,1,2,13,2,8530,4100000
6770,300,2,2,45,4,4781,500000
6771,96,2,2,57,4,9602,500000
6772,60,2,2,80,4,9523,300000
6773,3,2,2,45,6,9523, 
6774,24,2,2,41,4,4773,100000
6775,4,1,2,13,2,8413,2500000
6776,120,2,2,54,4,8121,120000
6777,24,1,2,19,1,8010,2200000
6778,312,1,2,31,2,8412,3200000
6779,18,1,2,21,4,8413,4000000
6780,24,1,2,85,1,4321,1014526
6781,17,1,2,55,2,8610,1200000
6782,120,2,2,95,4,4111,350000
6783,36,1,2,45,1,4732,1400000
6784,182,1,2,58,2,8423,1600000
6785,9,1,2,97,1,4752,942000
6786,25,1,2,44,2,5111,1200000
6787,8,1,2,59,1,4773,850000
6788,1,1,2,38,1,4921,360000
6789,6,2,2,98,4,4921,550000
6790,3,1,2,45,1,4719,700000
6791,2,1,2,53,1,5630,800000
6792,24,1,2,58,1,8413,1360000
6793,108,2,2,54,4,8121,130000
6794,20,1,2,12,2,8424,1200000
6795,48,1,2,33,1,6920,908000
6796,12,2,2,97,4,5224,750000
6797,120,2,2,41,4,4711,450000
6798,18,2,2,87,4,2592,150000
6799,252,1,2,30,1,4645,4000000
6800,17,1,2,21,2,8412,4200000
6801,312,2,2,21,4,9609,0
6802,24,1,2,54,3,9700,450000
6803,72,2,2,45,4,5619,600000
6804,240,2,2,45,4,4781,600000
6805,44,1,2,13,2,8530,2600000
6806,480,2,2,44,4,4620,600000
6807,6,2,2,49,4,7729,450000
6808,5,1,2,45,1,4711,970000
6809,12,2,2,95,4,4111,800000
6810,18,2,2,44,4,6820,1200000
6811,7,2,2,45,6,1081, 
6812,72,2,2,45,4,1081,300000
6813,5,1,2,54,3,9700,550000
6814,120,1,2,6,4,8412,4000000
6815,120,1,1,13,4,8551,6300000
6816,168,1,2,21,1,8610,7000000
6817,1,1,2,16,1,6020,200000
6818,288,1,2,14,4,9491,1300000
6819,6,1,2,45,1,4761,970000
6820,4,1,2,14,4,9491,1000000
6821,180,1,2,19,2,8423,3300000
6822,180,1,2,32,1,7010,1950000
6823,2,1,2,12,4,9499,4000000
6824,8,1,2,39,1,8220,2000000
6825,150,1,2,13,2,8530,1500000
6826,160,1,2,13,2,8412,4500000
6827,96,1,2,59,2,8610,1800000
6828,6,1,2,59,1,8622,907000
6829,60,1,2,33,1,8610,907000
6830,78,2,2,95,4,4111,400000
6831,36,2,2,54,4,8121,200000
6832,120,1,2,45,1,1410,1000000
6833,24,2,2,41,4,4773,500000
6834,120,2,2,21,5,8530,2500000
6835,60,1,2,12,1,6910,1800000
6836,12,1,2,2,1,4290,1800000
6837,12,1,2,45,1,4752,750000
6838,12,2,2,41,5,4752,2500000
6839,12,1,2,44,1,6190,900000
6840,6,1,2,54,3,9700,450000
6841,60,2,2,45,4,5619,300000
6842,60,2,2,45,6,5619, 
6843,5,1,2,84,1,4541,900000
6844,18,1,2,57,1,9602,750000
6845,120,1,2,98,1,4632,1500000
6846,48,2,2,98,4,4921,600000
6847,120,2,2,45,4,4781,800000
6848,36,1,2,57,1,9602,750000
6849,6,1,2,95,1,4111,600000
6850,2,2,2,54,4,8890,250000
6851,80,2,2,45,4,4781,400000
6852,24,1,2,45,1,4719,900000
6853,2,2,1,45,4,4781,900000
6854,15,2,2,45,4,4781,200000
6855,24,2,2,45,4,4789,300000
6856,96,1,2,59,1,8621,907000
6857,4,1,2,45,1,4711,907000
6858,2,1,2,55,1,8121,680000
6859,36,1,2,21,1,8621,1900000
6860,108,2,2,51,5,5611,650000
6861,108,2,2,77,4,5611,650000
6862,108,2,2,97,4,5611,650000
6863,24,1,2,7,1,8610,3200000
6864,36,2,2,33,4,5611,600000
6865,6,1,2,5,1,8691,2600000
6866,60,2,2,6,4,8610,2800000
6867,70,1,2,13,2,8530,2900000
6868,24,1,2,7,1,8610, 
6869,240,2,2,79,4,9529,100000
6870,268,1,2,13,2,8530,3500000
6871,120,2,2,41,4,4719,0
6872,5,2,2,98,4,4921,300000
6873,24,1,2,39,1,6424,1200000
6874,72,1,2,54,3,9700,400000
6875,4,1,2,13,1,8530,905000
6876,160,1,2,2,2,7210,3500000
6877,12,1,2,2,1,8129,1800000
6878,60,2,2,41,4,4773, 
6879,24,2,2,45,6,4773, 
6880,60,1,2,98,1,4921,905000
6881,4,1,2,45,1,4723,900000
6882,60,2,2,98,4,4921,700000
6883,70,2,2,98,4,4921,0
6884,240,1,2,33,1,4711,1100000
6885,420,1,2,98,1,4921,900000
6886,48,1,2,13,2,8530,1800000
6887,12,1,2,11,1,6920,1500000
6888,264,1,2,58,2,8424,1500000
6889,60,2,2,45,4,4781,250000
6890,48,1,2,3,1,3312,1500000
6891,5,2,2,41,4,4724,300000
6892,348,2,2,93,4,4330,700000
6893,120,2,2,79,4,9529,50000
6894,96,1,2,58,2,8423,1600000
6895,24,1,2,7,2,8621,1400000
6896,60,1,2,59,1,8610,1200000
6897,120,2,2,3,4,9511,2000000
6898,60,1,2,54,3,9700,500000
6899,5,1,2,12,1,4290,1014980
6900,12,2,2,77,4,1011,400000
6901,12,2,2,98,4,4921,500000
6902,60,1,2,54,3,9700,600000
6903,36,2,2,41,4,4711,1000000
6904,36,2,2,45,6,4711, 
6905,6,2,2,45,6,4711, 
6906,240,2,2,95,4,4111,500000
6907,420,1,2,13,2,8530,3600000
6908,300,1,2,13,2,8530,3600000
6909,24,2,2,85,4,4321,500000
6910,24,2,2,41,4,4761,100000
6911,96,2,2,12,4,6910,3000000
6912,300,1,2,12,2,8424, 
6913,240,2,2,45,4,4782,1000000
6914,36,1,2,44,1,4711,1400000
6915,24,1,2,77,1,1011,600000
6916,3,2,2,41,4,4752,900000
6917,72,1,2,40,1,4723,908000
6918,18,1,2,13,1,8530,1100000
6919,60,2,2,98,4,4921,200000
6920,36,2,2,98,4,4921,400000
6921,3,2,2,53,4,5619,200000
6922,60,1,2,13,2,8413,905800
6923,96,2,2,98,4,4921,800000
6924,3,2,2,57,4,9602,400000
6925,120,1,2,97,1,4711,1300000
6926,102,1,2,33,1,4711,1200000
6927,70,1,2,98,1,4722,1000000
6928,150,2,2,55,4,8121,300000
6929,12,1,2,45,1,4721,600000
6930,240,1,2,45,1,4721,600000
6931,4,1,2,97,1,4620,905800
6932,42,1,2,98,1,4711,908000
6933,180,1,2,45,1,4731,600000
6934,6,1,2,33,1,1081,900000
6935,2,2,2,45,4,4711,0
6936,6,2,2,41,4,4752,700000
6937,7,1,2,33,1,4711,1000000
6938,24,2,2,41,5,4711,1500000
6939,5,2,2,57,4,9602,400000
