,P6426,P6440,P7040,OFICIO,P6430,RAMA4D_R4,INGLABO
172,240,1,2,59,2,8610, 
173,36,1,2,8,1,6202,1800000
174,360,2,2,45,4,4781,400000
175,150,1,2,21,1,6424, 
176,300,2,2,39,4,7490,4000000
177,72,2,2,79,4,1410,0
178,72,2,2,79,4,1410,0
179,240,2,2,44,5,6820,5000000
180,240,1,2,40,1,4663, 
181,96,2,2,41,4,4771, 
182,0,1,2,79,1,1410,225000
183,70,1,2,13,2,8530,3000000
184,12,1,2,21,1,9609,1000000
185,0,1,2,45,1,4741,200000
186,120,2,2,97,4,5320,150000
187,18,1,2,53,1,5619,908000
188,36,2,2,95,4,4112,800000
189,6,1,2,33,1,4659,908526
190,60,2,2,95,4,4112,800000
191,6,2,2,3,4,3313,200000
192,24,1,2,7,4,8810,1200000
193,3,1,2,33,1,4711,1014000
194,12,1,2,39,1,4644,908526
195,60,2,2,54,4,8121,500000
196,36,1,2,98,1,4631, 
197,192,1,2,58,2,8423,2400000
198,84,2,2,45,4,4792,120000
199,24,1,2,97,1,4210,908526
200,1,2,2,99,4,3830,120000
201,108,1,2,13,1,9499,2500000
202,9,1,2,39,1,3811,908526
203,8,2,2,45,4,5619,320000
204,144,1,2,39,2,8423,2400000
205,1,1,2,38,1,8220,908526
206,1,1,2,21,1,6920,908526
207,7,1,2,57,1,9602,600000
208,48,1,2,98,1,4923,400000
209,18,1,2,3,1,8020,1200000
210,6,1,2,45,1,4741,908526
211,12,1,2,84,1,9522,400000
212,1,2,2,94,4,3290,36000
213,12,1,2,79,1,1410, 
214,3,1,2,13,4,8551,3700000
215,24,1,2,38,1,8544,1100000
216,5,1,2,58,1,8530,1200000
217,9,1,2,81,1,1690,100000
218,120,2,2,79,4,9529,100000
219,36,2,2,79,4,9529,100000
220,1,2,2,98,4,5320,350000
221,18,1,2,39,1,8621,908526
222,6,2,2,54,4,8121,400000
223,2,2,2,79,4,1313,312000
224,60,1,2,21,1,2229,4000000
225,168,1,2,2,1,4210,12000000
226,17,1,2,59,1,9603,908526
227,36,1,2,95,4,4111,1500000
228,120,1,2,45,1,4530,1190000
229,189,1,2,8,1,6201,2700000
230,186,1,2,11,1,6201,1300000
231,48,1,2,32,2,8413,1100000
232,84,2,2,85,4,4321,0
233,180,2,2,98,4,4921,1000000
234,54,1,2,87,1,7310,1180000
235,240,1,2,59,1,8610,1760000
236,20,2,2,59,4,5229,150000
237,120,1,2,97,1,4759,1148000
238,60,2,2,99,4,3830,200000
239,11,1,2,95,1,4210,908526
240,2,1,2,70,1,1410,908526
241,4,1,2,79,1,1410,908526
242,120,1,2,77,1,1081,1200000
243,6,1,2,80,1,1512,200000
244,18,1,2,85,1,4111,1230000
245,120,2,2,21,5,4111, 
246,312,1,2,33,1,5511,1800000
247,18,1,2,8,1,6412, 
248,18,1,2,21,1,4644,1200000
249,16,1,2,21,1,2023,4500000
250,15,1,1,39,1,4662,1300000
251,60,1,2,7,1,8412,908526
252,18,2,2,21,4,6110,2200000
253,48,2,2,95,4,4111,1200000
254,48,1,2,45,1,5619,1200000
255,48,1,2,45,1,5619,1200000
256,48,1,2,97,1,5619,900000
257,42,1,2,53,1,5619,900000
258,4,1,2,58,1,6424,1150000
259,12,1,2,84,1,4542,800000
260,144,2,2,59,4,8010,400000
261,216,2,2,45,4,4781,300000
262,6,2,2,45,4,4792,30000
263,5,1,2,97,1,811,1200000
264,8,1,2,77,1,2023,1008526
265,6,1,2,79,1,1410,600000
266,16,1,2,58,1,8413,1100000
267,12,2,2,58,4,8010,180000
268,12,2,2,58,4,8010,180000
269,3,1,2,58,1,8413,908526
270,312,1,2,77,1,1040, 
271,60,1,1,80,1,1522,1050000
272,24,2,2,45,4,4711,20000
273,144,1,2,98,1,4923, 
274,8,1,1,54,3,9700,1300000
275,8,2,2,53,6,5619, 
276,60,2,2,54,4,8890,400000
277,432,1,2,87,1,2011,1500000
278,12,1,2,45,1,4771,280000
279,180,1,2,58,2,8423, 
280,360,1,2,55,1,1089,908000
281,8,1,2,58,1,6820,1100000
282,5,1,2,58,1,4921,908000
283,5,1,2,58,1,8544,1050000
284,48,1,2,77,1,1040,908526
285,60,1,2,32,1,8621,1000000
286,60,2,2,87,4,4322,300000
287,36,2,2,54,4,8121,800000
288,7,1,2,55,1,1081,908526
289,144,2,2,54,4,8890,400000
290,11,1,2,21,1,8621,4100000
291,3,1,2,45,1,4771,908526
292,312,2,2,21,4,7490,1000000
293,228,1,2,58,2,8423,3400000
294,120,1,2,59,2,8610,2103000
295,1,1,2,58,1,6110,1300000
296,120,1,2,45,1,4644,908526
297,36,2,2,3,4,9511,250000
298,240,2,2,45,4,4530,400000
299,30,1,2,45,1,4721,1100000
300,324,1,2,97,1,1040,1000000
301,96,2,2,45,4,4631,1800000
302,40,1,2,33,1,7010,1250000
303,4,1,2,33,1,4732,1180000
304,18,1,2,38,1,8220,908526
305,144,2,2,57,4,9602,20000
306,8,1,2,44,1,6820,700000
307,252,1,2,37,1,1702,1200000
308,2,1,2,45,1,3312,908526
309,60,1,2,39,1,1702,1100000
310,2,1,2,62,8,142,1080000
311,48,1,2,92,1,1410,1090000
312,10,2,2,84,4,4520,800000
313,36,1,2,95,1,4111,1000000
314,24,1,2,8,1,6201,1200000
315,24,2,2,19,4,8692,1000000
316,1,1,2,77,1,1089,908000
317,48,1,2,45,1,2599,1100000
318,36,1,2,59,4,9603,500000
319,7,1,2,44,1,4923,908000
320,12,1,2,95,1,4111,800000
321,1,1,2,70,1,1410,600000
322,1,2,2,99,4,3830,20000
323,12,1,2,3,1,6209,908526
324,12,2,2,59,4,4520,1000000
325,6,2,2,54,4,8121,50000
326,240,1,2,3,1,7310,908526
327,208,1,2,39,1,4649,908526
328,18,1,2,87,1,2599,908526
329,480,2,2,45,4,4781,800000
330,16,2,2,7,4,8692,1500000
331,72,2,2,57,4,9602,2000000
332,60,2,2,98,4,4921,1000000
333,12,2,2,98,4,4921,500000
334,6,1,2,93,1,2022,1200000
335,240,1,2,37,1,5320,908526
336,12,1,2,13,2,8530,2000000
337,3,1,2,34,4,8411,908526
338,6,1,2,39,1,6492,681000
339,48,2,2,98,4,4921,1000000
340,9,1,1,97,1,1104,2360000
341,3,1,2,53,1,8890,908526
342,9,1,2,21,1,5590,1750000
343,120,2,2,99,4,4520,150000
344,2,2,2,57,4,9602,100000
345,396,1,2,97,1,1040,1380000
346,324,1,2,58,1,7010,1700000
347,408,1,2,97,1,2599,1800000
348,84,2,2,98,4,4921,1500000
349,28,1,2,38,1,8220,2500000
350,72,1,2,2,1,4210,4000000
351,180,2,2,99,4,3830,400000
352,180,2,2,51,4,5619,300000
353,12,2,2,45,4,4781,600000
354,120,2,2,56,4,9601,180000
355,144,1,2,21,2,8424,3500000
356,204,1,2,58,2,8424,3500000
357,108,1,2,21,1,1104,1817052
358,30,1,2,58,1,8413,908000
359,72,1,2,95,1,4759,908526
360,48,2,2,51,4,5619,2000000
361,0,1,2,97,1,4923,350000
362,108,2,2,98,4,4921, 
363,300,2,2,45,4,5619,100000
364,168,2,2,95,5,4210, 
365,312,1,2,34,2,8424,3000000
366,96,2,2,98,4,4921,1200000
367,4,1,2,79,1,1410,908526
368,31,1,2,33,1,6412,2000000
369,30,1,2,39,1,4645,1817052
370,132,1,2,44,1,6511,908526
371,60,2,2,98,4,5022,1800000
372,120,2,2,95,4,1630,450000
373,24,1,2,21,1,5221,908526
374,376,2,2,95,5,4111,1800000
375,134,1,2,79,1,1410,908000
376,6,1,2,95,1,4111,950000
377,60,2,2,53,4,5619,400000
378,96,1,2,3,1,6820,1280000
379,12,1,2,59,2,8610,1450000
380,60,1,2,58,1,8010,1800000
381,96,2,1,13,4,8559, 
382,3,1,2,97,1,1410,908000
383,6,1,2,79,1,1410,908000
384,12,1,2,98,1,2229,1100000
385,224,2,2,21,5,4530,2000000
386,14,2,2,45,4,5619,200000
387,36,1,1,33,1,8692,906000
388,48,2,2,57,4,9602,800000
389,48,1,2,33,1,4799,660000
390,15,1,2,55,1,8530,1450000
391,10,1,2,45,1,5619,1200000
392,380,2,2,98,4,4921,1200000
393,480,2,2,95,4,4111,600000
394,180,2,2,45,4,4792,80000
395,240,2,2,45,4,4781,300000
396,48,1,2,3,1,6110,1800000
397,2,2,2,83,4,2599,300000
398,3,1,2,53,1,5619,520000
399,276,2,2,45,4,5619, 
400,3,2,2,98,4,4921,900000
401,114,1,2,2,2,8422,2000000
402,3,1,2,7,1,8610,1000000
403,120,2,2,98,4,4921,1600000
404,120,2,2,55,4,8121,150000
405,6,2,2,13,4,8559,60000
406,18,1,2,57,1,9602,1000000
407,480,2,2,45,4,4773,1400000
408,480,2,2,45,6,4773, 
409,24,1,2,53,1,5619,900000
410,24,2,1,53,5,5619,1320000
411,19,1,2,2,1,1709,2500000
412,48,2,2,99,4,3830,300000
413,12,1,2,3,4,4321,800000
414,0,2,2,95,4,4111,0
415,360,2,2,44,4,6820,400000
416,264,1,2,97,1,3600,1980000
417,48,1,2,32,1,7490,1000000
418,18,1,2,55,1,8551,910000
419,240,1,2,45,1,4773,1000000
420,3,2,2,13,4,8559,300000
421,36,1,2,97,1,4752,1000000
422,120,2,2,57,4,9602,100000
423,120,2,2,2,4,7110, 
424,360,2,2,12,4,6910,400000
425,12,1,2,5,1,8610, 
426,60,2,2,13,4,8559, 
427,4,1,2,54,3,9700,480000
428,2,1,2,97,1,4723,450000
429,290,1,2,97,1,3290,1200000
430,36,2,2,45,4,5619,800000
431,24,2,2,45,6,5619, 
432,24,1,1,3,1,2100,2000000
433,24,2,2,45,4,4742,0
434,204,2,2,41,4,4711,1500000
435,204,2,2,45,6,4711, 
436,3,1,2,38,1,8220,908526
437,48,1,2,54,3,9700,1106000
438,60,2,2,45,4,4773,300000
439,12,1,2,58,1,5611,1156000
440,24,2,2,97,4,5320,600000
441,60,2,2,77,4,5619,60000
442,120,2,2,6,4,7500,850000
443,24,2,2,3,6,7500, 
444,24,1,2,97,1,4530,908000
445,12,1,2,7,4,8610,1500000
446,84,1,2,33,1,4631, 
447,96,2,2,45,4,5619,12000
448,12,2,2,11,4,6920,600000
449,120,1,2,11,1,3110,1700000
450,60,1,2,40,1,4711, 
451,36,2,2,21,5,4322, 
452,92,2,2,95,4,4330,1000000
453,24,1,2,33,1,6920,908000
454,6,1,2,19,1,2023,908000
455,12,1,2,44,1,6499,1800000
456,1,2,2,45,4,4792,0
457,122,1,2,58,4,8412,1800000
458,38,1,2,98,1,1081,1100000
459,18,1,2,54,3,9700,958000
460,6,1,2,54,3,9700,650000
461,4,2,2,55,4,8121,400000
462,18,1,2,2,1,4112,2200000
463,8,1,2,32,2,8551,2500000
464,6,1,2,44,1,7911,4000000
465,267,2,2,45,5,4781,1000000
466,2,2,2,55,4,8121,300000
467,128,2,2,79,4,1410,350000
468,36,2,1,13,4,8559,700000
469,48,1,2,58,1,8530,1000000
470,24,2,2,45,4,5619,900000
471,12,2,2,53,6,5619, 
472,8,2,2,97,6,5619, 
473,19,1,2,53,1,5611,750000
474,96,2,2,3,4,7310,3000000
475,36,1,2,39,1,8010,1500000
476,12,1,2,7,1,8621,1800000
477,180,2,2,41,4,4741,1200000
478,120,2,2,45,6,4741, 
479,84,1,2,37,1,5320,908000
480,60,1,2,33,1,4512,908000
481,24,2,2,44,4,6614,400000
482,24,2,2,21,5,5320,3000000
483,48,1,2,45,1,4530,980000
484,11,2,2,41,4,4771,500000
485,10,1,2,45,1,4773,470000
486,0,2,2,38,4,6190,0
487,190,1,2,58,2,8423,1600000
488,24,1,1,45,1,4773,910000
489,36,1,2,40,1,4773,1000000
490,36,1,2,39,1,6820,908000
491,168,1,2,92,1,2229,2000000
492,240,2,2,79,4,1410,0
493,60,1,2,62,1,8544,1250000
494,24,2,2,13,4,8559,450000
495,6,1,2,19,1,8890,1900000
496,6,1,2,11,1,4741,1250000
497,12,1,2,97,1,4111,1600000
498,108,2,2,41,4,4711,1500000
499,84,2,2,45,6,4711, 
500,84,2,2,99,4,3830,600000
501,8,2,2,95,4,4111,450000
502,2,2,2,45,4,4781,200000
503,60,1,2,45,1,4752,900000
504,24,2,2,95,4,4111,600000
505,174,2,2,98,4,4921,500000
506,7,2,2,45,4,4781,600000
507,1,2,2,97,4,5224,250000
508,24,2,2,57,4,9602,100000
509,3,1,2,97,4,5320,500000
510,4,1,2,39,1,6820,650000
511,5,2,2,57,4,9602,60000
512,240,2,1,79,4,1410,300000
513,84,1,2,39,1,4773,908000
514,4,2,2,41,4,4773, 
515,36,2,2,45,4,4781,300000
516,456,2,2,45,4,4781,1050000
517,12,2,2,79,4,1410,50000
518,9,1,2,45,1,4711,1200000
519,36,1,2,98,1,4631,950000
520,3,1,2,97,4,5320,630000
521,16,1,2,97,1,4711,1150000
522,24,1,2,53,1,5611,400000
523,12,2,2,3,4,9522,600000
524,5,1,2,38,1,8220,1000000
525,360,2,2,95,4,4111,600000
526,48,2,2,45,4,5611,900000
527,36,1,2,38,1,8220,1200000
528,84,2,2,95,4,4111,800000
529,60,1,2,98,1,4923, 
530,6,2,2,41,4,4711,60000
531,6,1,2,97,1,2394,1250000
532,3,1,2,44,1,4541,908000
533,12,2,1,98,4,4921,510000
534,120,2,1,13,4,8559,700000
535,144,1,2,58,2,8423,1400000
536,120,1,2,11,1,4210,2000000
537,360,2,2,95,4,4111,900000
538,1,2,2,45,4,4792,40000
539,36,2,2,95,4,4111,700000
540,24,2,2,95,4,4111,650000
541,24,2,2,53,4,5619,600000
542,60,1,2,55,1,4511,900000
543,360,2,2,45,4,4632,2500000
544,175,2,2,99,4,9529,90000
545,224,2,2,55,4,8121,200000
546,48,1,2,45,1,4711,908000
547,96,1,2,45,1,4711,1000000
548,24,1,2,45,1,4731,1000000
549,12,1,2,11,1,4321,1100000
550,420,2,2,75,4,1394,300000
551,420,2,2,75,4,1394,600000
552,120,2,2,53,4,5621,0
553,120,2,2,84,4,4542,600000
554,18,1,2,54,3,9700,890000
555,38,2,2,45,4,4781,600000
556,156,1,2,37,1,7110,980000
557,6,1,2,99,4,4520,300000
558,84,2,2,3,4,9522,400000
559,175,2,2,99,4,4542,500000
560,60,1,2,3,1,6201,1300000
561,384,2,2,45,4,4789,600000
562,36,2,2,57,4,9602,500000
563,36,2,2,45,4,4719,100000
564,16,1,2,33,1,4775,874254
565,420,2,2,98,4,4921,750000
566,390,2,2,98,4,4921,900000
567,36,1,2,45,1,145,2000000
568,3,1,2,58,1,3511,1200000
569,1,1,2,77,1,1051,720000
570,60,2,2,45,4,4789,600000
571,120,1,2,56,1,9601,600000
572,2,1,2,45,1,4772,600000
573,2,2,2,45,4,4724,60000
574,12,1,2,95,4,4111,720000
575,48,2,2,45,4,4781,360000
576,240,2,2,57,4,9602,450000
577,288,1,2,13,2,8530,3000000
578,60,2,2,45,4,5619,40000
579,3,2,2,45,4,4781,300000
580,3,2,2,45,4,4781,900000
581,180,2,2,3,4,9522,900000
582,0,1,2,2,1,3312, 
583,68,2,2,45,4,5619,360000
584,18,1,2,21,1,8551,1900000
585,12,2,2,97,4,5320,190000
586,120,2,2,16,4,7410,800000
587,312,1,2,13,2,8530,4000000
588,120,2,2,45,4,4781,500000
589,240,2,2,45,4,4759, 
590,360,1,2,13,2,8530,2900000
591,120,1,2,19,1,6522,4600000
592,12,1,2,45,1,4649,908000
593,24,2,2,45,4,9200,40000
